Store,Date,Cigarette Name,Cigarette UPC,Sell Unit Quantity,Item Number,Cost,Sales,Quantity Sold
3,3/29/20,AM SPIRIT NAT GREEN MN KS BOX,4799585505,1,50825,6.27,7.41,1
3,4/23/20,AM SPIRIT NAT GREEN MN KS BOX,4799585505,1,50825,6.27,7.41,1
3,2/21/20,AM SPIRIT YELLOW RG KS BOX,4799585509,1,50794,6.27,7.41,1
3,3/9/20,AM SPIRIT YELLOW RG KS BOX,4799585509,1,50794,6.27,7.41,1
3,3/14/20,CAMEL BLUE 50 OFF,1230050974,1,50925,5.29,5.86,1
3,3/17/20,CAMEL BLUE 50 OFF,1230050974,1,50925,5.29,5.86,1
3,3/19/20,CAMEL BLUE 50 OFF,1230050974,1,50925,5.29,5.86,1
3,3/20/20,CAMEL BLUE 50 OFF,1230050974,1,50925,5.29,5.86,1
3,3/24/20,CAMEL BLUE 50 OFF,1230050974,1,50925,5.29,5.86,1
3,3/25/20,CAMEL BLUE 50 OFF,1230050974,1,50925,5.29,5.86,1
3,3/26/20,CAMEL BLUE 50 OFF,1230050974,1,50925,5.29,5.86,1
3,3/29/20,CAMEL BLUE 50 OFF,1230050974,1,50925,5.29,5.86,1
3,3/31/20,CAMEL BLUE 50 OFF,1230050974,1,50925,5.29,5.86,1
3,4/5/20,CAMEL BLUE 50 OFF,1230050974,1,50925,5.29,5.86,1
3,2/7/20,CAMEL BLUE REG KS BOX,1230000007,1,50813,5.68,6.23,1
3,2/8/20,CAMEL BLUE REG KS BOX,1230000007,1,50813,5.68,6.23,1
3,2/10/20,CAMEL BLUE REG KS BOX,1230000007,1,50813,5.68,6.23,1
3,2/11/20,CAMEL BLUE REG KS BOX,1230000007,1,50813,17.05,18.69,3
3,2/16/20,CAMEL BLUE REG KS BOX,1230000007,1,50813,5.68,6.23,1
3,2/23/20,CAMEL BLUE REG KS BOX,1230000007,1,50813,5.79,6.36,1
3,2/25/20,CAMEL BLUE REG KS BOX,1230000007,1,50813,5.79,6.36,1
3,2/26/20,CAMEL BLUE REG KS BOX,1230000007,1,50813,5.79,6.36,1
3,2/27/20,CAMEL BLUE REG KS BOX,1230000007,1,50813,5.79,6.36,1
3,3/2/20,CAMEL BLUE REG KS BOX,1230000007,1,50813,11.57,12.72,2
3,3/4/20,CAMEL BLUE REG KS BOX,1230000007,1,50813,5.79,6.36,1
3,3/6/20,CAMEL BLUE REG KS BOX,1230000007,1,50813,11.57,12.72,2
