week number,Store,Cigarette Name,Cigarette UPC,Item Number,Sell Unit Quantity,Cost,Sales,Quantity Sold,Total Cartons Sold,Average Cartons Sold Weekly,Order
18,3,CAMEL BLUE REG KS BOX,1230000007,50813,1,5.79,6.36,1,0.1,0.2888888888888889,False
18,3,CAMEL CRUSH MEN 50 OFF,1230050280,50941,1,15.870000000000001,17.580000000000002,3,0.3,0.3833333333333333,False
18,3,CAMEL CRUSH MEN SLVR 50 OFF,1230050283,50920,1,10.58,11.72,2,0.2,0.3,False
18,3,CAMEL SILVER MEN KS BX,1230000094,50811,1,5.79,6.46,1,0.1,0.19999999999999998,False
18,3,EAGLE BLUE 100 BX,1100000287,51001,1,3.54,4.95,1,0.1,0.18181818181818182,False
18,3,EAGLE RED 100 BX,1100000288,50999,1,7.08,9.9,2,0.2,0.3230769230769231,False
18,3,EAGLE RED KS BX,1100000283,50998,1,3.54,4.95,1,0.1,0.1,False
18,3,KOOL 100 BOX 50  OFF,9050001001,51301,1,73.35000000000001,76.72,14,1.4,1.1666666666666667,True
18,3,KOOL BLUE MEN KS BX,9050000086,50900,1,5.74,6.89,1,0.1,0.2833333333333333,False
18,3,KOOL FF MEN 100 BX,9050000073,50887,1,45.92,55.120000000000005,8,0.8,1.8846153846153846,False
18,3,KOOL FF MEN KS SP,9050000072,50852,1,5.74,6.89,1,0.1,0.3153846153846154,False
18,3,KOOL KING BOX 50  OFF,9050001000,51300,1,31.440000000000005,32.88,6,0.6,0.8333333333333334,False
18,3,L & M BLUE REG 100 BOX,2820031022,50759,1,74.07,73.78,14,1.4,0.9153846153846156,True
18,3,L & M BLUE REG KS BOX,2820031001,50782,10,52.91,47.49,1,1.0,1.3038461538461539,False
18,3,L & M BLUE REG KS BOX,2820031002,50782,1,15.870000000000001,15.809999999999999,3,0.3,1.3038461538461539,False
18,3,L & M BOLD KS BOX,2820031552,50757,1,15.870000000000001,15.809999999999999,3,0.3,0.325,False
18,3,L & M MEN 100 BOX,2820031042,50781,1,121.68,121.21000000000001,23,2.3,2.5933333333333337,False
18,3,L & M MENTHOL KS BOX,2820031032,50762,1,84.64,84.32000000000001,16,1.6,1.785714285714286,False
18,3,L & M REG 100 BOX,2820030992,50775,1,26.45,26.349999999999998,5,0.5,0.6846153846153846,False
18,3,L & M REG KS BOX,2820030982,50763,1,47.61,47.43,9,0.9,1.2615384615384617,False
18,3,MARL MEN ICE BX K 50 OFF,2820017916,51299,1,10.42,12.1,2,0.2,0.36153846153846164,False
18,3,MARL MIDNIGHT MEN BX KS,2820000613,50808,1,5.71,5.45,1,0.1,0.1,False
18,3,MARL SPCL BLD RED KS BX,2820000565,50841,1,17.13,17.950000000000003,3,0.3,0.16,False
18,3,MARLBORO BLUE MENTHOL KS BOX,2820000376,50837,1,34.26,38.8,6,0.6,0.44666666666666666,False
18,3,MARLBORO BOLD ICE BOX,2820033132,10991,1,5.71,5.45,1,0.1,0.2090909090909091,False
18,3,MARLBORO GLD MENTHOL KS BOX,2820000401,50818,1,62.82000000000001,69.55,11,1.1,0.9928571428571428,True
18,3,MARLBORO GOLD MENTHOL 100 BOX,2820000471,50874,1,11.42,12.6,2,0.2,0.25,False
18,3,MARLBORO GOLD REG 100 BOX,2820000465,50877,1,17.13,18.85,3,0.3,0.27272727272727276,False
18,3,MARLBORO GOLD REG 72S BOX,2820000965,50886,1,5.71,5.95,1,0.1,0.4083333333333334,False
18,3,MARLBORO GOLD REG 72S BOX,2820019650,50886,10,57.12,55.39,1,1.0,0.4083333333333334,True
18,3,MARLBORO GOLD REG KS BOX,2820000384,50875,1,114.23,125.25000000000001,20,2.0,2.1,False
18,3,MARLBORO MEN BLK SP BLD 100  50 OF,2820017479,50922,1,15.629999999999999,14.850000000000001,3,0.3,0.5125000000000001,False
18,3,MARLBORO MENTHOL ICE BX K,2820000949,50800,1,11.42,12.6,2,0.2,0.2125,False
18,3,MARLBORO MENTHOL KS BOX,2820000361,50853,1,45.68,51.4,8,0.8,0.62,False
18,3,MARLBORO REG 100 BOX,2820000363,50848,1,51.400000000000006,56.05,9,0.9,0.6615384615384615,False
18,3,MARLBORO REG 72 S BOX,2820000963,50842,1,11.42,11.4,2,0.2,0.5928571428571427,False
18,3,MARLBORO REG KS BOX,2820000357,50897,1,34.26,37.95,6,0.6,0.8307692307692307,False
18,3,MARLBORO REG KS SP,2820000358,50720,1,17.13,19.35,3,0.3,0.24285714285714285,False
18,3,MARLBORO SILVER 100 BOX,2820000478,50890,1,11.42,12.4,2,0.2,0.9461538461538461,False
18,3,MARLBORO SILVER 100 BOX,2820014780,50890,10,57.12,61.09,1,1.0,0.9461538461538461,True
18,3,MARLBORO SILVER KS BOX,2820000477,50802,1,51.39,56.050000000000004,9,0.9,1.025,False
18,3,MARLBORO SMOOTH MEN 100 BOX,2820000303,50806,1,34.27,37.8,6,0.6,0.34166666666666673,False
18,3,MARLBORO SMOOTH MENTHOL KS BOX,2820000323,50855,1,11.42,13.1,2,0.2,0.5333333333333334,False
18,3,MARLBORO SP BLD BLACK 100 BX,2820000953,50882,1,11.42,10.9,2,0.2,0.288888888888889,False
18,3,MARLBORO SP BLD BLACK KS BX,2820000952,50820,1,57.1,53.0,10,1.0,1.2090909090909092,False
18,3,MARLBORO SP BLD GOLD 100 BX,2820000423,50901,1,34.26,35.400000000000006,6,0.6,0.1857142857142857,False
18,3,MARLBORO SP BLD GOLD KS BX,2820000422,50827,1,51.39,54.35,9,0.9,0.9099999999999999,False
18,3,MARLBORO SP BLD MEN BLACK 100 BX,2820000964,50896,1,79.96000000000001,73.8,14,1.4,0.65,True
18,3,MARLBORO SP BLD MEN BLACK BX,2820000954,50844,1,28.55,26.75,5,0.5,0.6,False
18,3,MARLBORO SP BLD RED 100 BX,2820000568,50869,1,11.42,11.8,2,0.2,0.2714285714285714,False
18,3,MARLBORO SP BLD RED KING BX 50 OFF,2820017488,50931,1,5.21,5.65,1,0.1,0.18,False
18,3,MAVERICK MEN 100 BX,9050000051,50752,1,68.34,78.15,15,1.5,1.9153846153846152,False
18,3,MAVERICK MEN KS BX,9050000054,50771,1,22.79,26.049999999999997,5,0.5,0.3076923076923077,False
18,3,NEWPORT 100 BOX,2610000573,50905,1,1653.99,1608.0500000000002,266,26.6,16.466666666666665,True
18,3,NEWPORT 100 SP,2610000577,50822,1,466.34000000000003,446.70000000000005,75,7.5,4.9,True
18,3,NEWPORT KS BOX,2610000575,50829,1,1063.27,1032.86,171,17.1,8.806666666666667,True
18,3,NEWPORT KS BOX,2610080575,50829,10,62.18,52.89,1,1.0,8.806666666666667,False
18,3,NEWPORT KS SP,2610000578,50793,1,167.91,170.14999999999998,27,2.7,2.5076923076923077,True
18,3,NEWPORT NON MEN 100 BX,2610000657,50838,1,19.689999999999998,19.89,4,0.4,0.5153846153846154,False
18,3,NEWPORT NON MEN GLD 100 BX,2610000661,50906,1,4.92,6.06,1,0.1,0.1,False
18,3,NEWPORT NON MEN KS BX,2610000656,50867,1,4.92,6.06,1,0.1,0.2818181818181818,False
18,3,NEWPORT PLTNM BL BX 100,2610001622,50860,1,6.22,6.2,1,0.1,0.20833333333333337,False
18,3,NEWPORT PLTNM BL BX KS,2610001628,50873,1,6.22,4.84,1,0.1,0.3923076923076923,False
18,3,NEWPORT SMOOTH SELECT 100 BX,2610000668,50823,1,31.1,25.2,5,0.5,0.225,False
18,3,PALL MALL CLAS M SILVER BX 100,2720000417,50885,1,21.24,17.8,4,0.4,0.225,False
18,3,PALL MALL RED BX KS  50 OFF,2720000392,50722,1,24.049999999999997,19.78,5,0.5,0.7666666666666666,False
18,3,PALLMALL BLACK 100 MEN BX,2720034728,50751,1,26.549999999999997,23.75,5,0.5,0.5727272727272726,False
18,3,PALLMALL BLUE REG 100 BX,2720001862,50784,10,53.11,38.79,1,1.0,0.9733333333333334,True
18,3,PALLMALL BLUE REG 100 BX,2720000862,50784,1,15.93,13.850000000000001,3,0.3,0.9733333333333334,False
18,3,PALLMALL BLUE REG KS BX,2720000854,50769,1,42.48,36.1,8,0.8,1.738461538461539,False
18,3,PALLMALL MEN 100 BX,2720000865,50786,1,47.78999999999999,44.55,9,0.9,1.2076923076923076,False
18,3,PALLMALL MEN KS BX,2720000859,50778,1,10.62,9.9,2,0.2,0.6692307692307693,False
18,3,PALLMALL ORANGE REG 100 BX,2720000185,50764,1,26.549999999999997,23.25,5,0.5,0.6357142857142858,False
18,3,PALLMALL RED KS BX,2720000851,50788,1,58.410000000000004,49.92000000000001,11,1.1,1.03,True
18,3,PALLMALL RED REG 100 BX,2720000867,50796,1,191.19,170.7,36,3.6,1.9777777777777779,True
18,3,PALLMALL RED REG 100 BX,2720001867,50796,10,53.11,38.79,1,1.0,1.9777777777777779,False
18,3,PYRAMID SILVER MEN 100 BX,1100000407,50753,1,4.31,5.4,1,0.1,0.4090909090909091,False
18,3,SALEM MEN KS BX,9050000090,50857,1,23.6,28.12,4,0.4,0.15000000000000005,False
18,3,SALEM SLIM 100 BX,9050000092,50717,1,5.9,7.03,1,0.1,0.1625,False
18,3,WINSTON RED REG 100 BX,9050000058,50891,1,5.74,5.95,1,0.1,0.17142857142857146,False
